date,region,zone,division_code,division,ponderation,indice,var_mensuelle_pct,var_annuelle_pct,indice_ma3
2020-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.7,1.4839034205231583,2.411167512690371,79.68333333333332
2020-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.42,2.131350681536559,2.967081016927975,80.88
2020-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,83.85,1.7350157728706517,3.1492188461065274,82.32333333333334
2020-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.91,1.2641621943947579,3.3094050371091255,83.72666666666667
2020-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,85.25,0.4004239783300001,2.9340738951944,84.67
2020-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.95,-0.35190615835777317,3.521813307336097,85.03666666666668
2020-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.06,-1.0476751030017661,3.38211782068627,84.75333333333333
2020-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.5,-1.855817273376159,3.3316633266533113,83.83666666666666
2020-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.13,-1.6606060606060624,2.9176709374603593,82.56333333333333
2020-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.23,-1.1093307038086864,2.964579055441474,81.28666666666668
2021-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.79,0.6979932693506274,2.4863630597488307,80.71666666666667
2021-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.37,0.7179106325040152,2.3264587525150926,80.79666666666667
2021-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.59,1.499324075211983,2.3420074349442377,81.58333333333334
2021-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.41,2.2036566170238414,2.414462509099735,82.79
2021-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,85.93,1.8007345101291428,2.480620155038782,84.31
2021-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,87.29,1.582683579657851,2.8029678483099785,85.87666666666667
2021-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,87.48,0.21766525375186419,2.6158357771260965,86.90000000000002
2021-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,86.97,-0.5829903978052164,2.3778693349028712,87.24666666666667
2021-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,86.03,-1.080832470966997,2.3435641208660485,86.82666666666667
2021-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,85.17,-0.9996512844356653,3.236363636363637,86.05666666666667
2021-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,83.97,-1.4089468122578386,3.500554665351907,85.05666666666667
2021-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.92,-1.2504465880671667,3.3528605259877775,84.02
2022-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.78,2.243125904486254,4.9387300408466395,83.89
2022-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,86.78,2.3590469450342155,6.6486420056531825,84.82666666666667
2022-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,88.86,2.396865637243595,7.591718125681068,86.80666666666667
2022-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,91.7,3.1960387125815837,8.63641748607986,89.11333333333334
2022-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,94.73,3.304252998909485,10.240893750727341,91.76333333333334
2022-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,96.83,2.2168267708223333,10.929086951540823,94.42
2022-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.15,1.3632138799958726,12.197073616826714,96.57000000000001
2022-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.62,0.47885888945491395,13.395423709325073,97.86666666666667
2022-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.48,-0.14195903467856263,14.471695920027905,98.41666666666667
2022-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.01,-0.47725426482534417,15.075730891158855,98.37
2022-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.1,-0.9284766860524596,15.636536858401806,97.86333333333334
2022-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,95.445,-1.704428424304838,15.104920405209832,96.85166666666665
2023-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,93.79,-1.7339829221017178,10.627506487379112,95.445
2023-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,95.22,1.5246828020044623,9.725743258815388,94.81833333333333
2023-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,96.93,1.7958412098298737,9.08170155300474,95.31333333333333
2023-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,99.14500000000001,2.2851542350149634,8.11886586695747,97.09833333333334
2023-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.36,2.2341015684098853,6.99883880502481,99.14500000000002
2023-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.12,1.7363851617995252,6.495920685737899,101.20833333333333
2023-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.92,0.7757951900698279,5.8787570045848225,102.8
2023-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.34,-0.5581216320246329,4.786047454877296,103.46
2023-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.9,-0.42577898200115705,4.488220958570266,103.38666666666667
2023-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.81,-1.0592808551992294,3.877155392306908,102.68333333333334
2023-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,100.75,-1.0411550928199564,3.7590113285272952,101.82000000000001
2023-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.78,-2.947890818858556,2.4464351197024614,100.11333333333333
2024-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,96.63,-1.1761096338719579,3.028041369015866,98.38666666666666
2024-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.52,0.9210390147987191,2.415458937198056,97.30999999999999
2024-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.76,1.2715340442986056,1.8879603837821168,97.63666666666667
2024-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,100.5,1.761846901579589,1.3666851581017658,98.92666666666668
2024-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.39,1.8805970149253781,1.0161799526440474,100.55
2024-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.79,1.3673210274441017,0.649728471683475,102.22666666666667
2024-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,104.32,0.5106464977358005,0.38491147036181506,103.5
2024-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.82,-0.4792944785276032,0.46448616218306427,103.97666666666667
2024-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.29,-0.5104989404738802,0.37900874635568016,103.80999999999999
2024-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.34,-0.9197405363539524,0.5205775464099727,103.14999999999999
2024-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.71,-0.6155950752394057,0.9528535980148911,102.44666666666666
2024-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.54,-3.116704355520583,0.7772550623849517,100.86333333333334
2025-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.54,-1.014816318246392,0.9417365207492701,99.26333333333334
2025-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.63,1.1174902604059733,1.1382280557834301,98.23666666666668
2025-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,100.16,1.55125215451688,1.4175779667881638,98.77666666666666
2025-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.39,2.226437699680517,1.8805970149253781,100.39333333333332
2025-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,104.63,2.187713643910527,2.187713643910527,102.39333333333332
2025-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.37,1.6630029628213805,2.4857886116196104,104.46333333333332
2025-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.81,0.4136504653567741,2.386886503067487,105.93666666666667
2025-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.71,-0.09362419249134835,2.7836640339048424,106.63
2025-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,105.94,-0.7215818573704347,2.5655920224610274,106.48666666666666
2025-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,105.38,-0.5286010949594133,2.9704905217901034,106.00999999999999
2025-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,104.31,-1.0153729360409924,2.556287484023212,105.21
2025-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.3,-2.885629373981402,2.8008930383600417,103.66333333333334
2026-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.98,-3.2773938795656377,0.4510969858519509,101.19666666666667
2026-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,99.59,1.6431924882629012,0.9733346851870772,99.62333333333333
2026-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.71,2.1287277839140417,1.5475239616613345,99.75999999999999
2026-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.65,1.9073837380788605,1.2305889246996937,101.64999999999999
2026-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.12,2.3830197780993823,1.4240657555194547,103.82666666666667
2018-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,74.35,,,74.35
2018-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,74.52,0.22864828513786684,,74.435
2018-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,75.65,1.5163714439076825,,74.83999999999999
2018-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,77.28,2.154659616655641,,75.81666666666666
2018-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,78.65,1.7727743271221508,,77.19333333333334
2018-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.2,0.6993006993006867,,78.37666666666667
2018-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.56,0.454545454545463,,79.13666666666667
2018-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.19,-0.4650578179990039,,79.31666666666666
2018-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,78.37,-1.0354842783179663,,79.04
2018-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,76.75,-2.067117519458983,,78.10333333333334
2018-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,75.43,-1.7198697068403823,,76.85000000000001
2018-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,74.75,-0.9014980776879344,,75.64333333333333
2019-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,75.03,0.3745819397993344,0.9145931405514451,75.07000000000001
2019-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,75.63,0.7996801279488208,1.4895330112721483,75.13666666666667
2019-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,76.47,1.1106703689012232,1.0839391936549703,75.71
2019-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,78.04,2.053092716097815,0.9834368530020843,76.71333333333332
2019-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.25,1.5504869297795931,0.7628734901462098,77.92
2019-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,80.29,1.312302839116719,1.3762626262626254,79.19333333333334
2019-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,80.82,0.6601071117199986,1.5837104072398134,80.12
2019-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,80.28,-0.6681514476614581,1.376436418739746,80.46333333333334
2019-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.19,-1.357747882411564,1.046318744417496,80.09666666666666
2019-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,77.75,-1.8184114155827769,1.3029315960912058,79.07333333333334
2019-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,76.46,-1.659163987138268,1.3655044412037576,77.8
2019-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,75.58,-1.1509285901124766,1.1103678929765826,76.59666666666666
2020-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,76.73,1.5215665519978883,2.2657603625216627,76.25666666666666
2020-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,77.07,0.44311221165123094,1.9040063466878143,76.46
2020-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,78.66,2.0630595562475706,2.8638681836014035,77.48666666666666
2020-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,80.52,2.3646071700991644,3.1778575089697503,78.74999999999999
2020-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,82.2,2.086438152011927,3.7223974763406886,80.46
2020-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,83.55,1.6423357664233418,4.060281479636307,82.08999999999999
2020-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,83.91,0.43087971274686776,3.8233110616184174,83.22
2020-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,83.3,-0.726969371946129,3.7618335824613824,83.58666666666666
2020-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,82.09,-1.4525810324129584,3.662078545270875,83.10000000000001
2020-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,80.6,-1.8150810086490554,3.665594855305465,81.99666666666667
2020-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.29,-1.6253101736972586,3.701281715929916,80.66
2020-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,78.02,-1.601715222600597,3.2283672929346308,79.30333333333333
2021-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,78.58,0.7177646757241751,2.411051739867065,78.63000000000001
2021-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,79.4,1.0435225248154767,3.023225639029481,78.66666666666667
2021-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,81.01,2.0277078085642275,2.9875413170607823,79.66333333333334
2021-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,82.76,2.1602271324527855,2.78191753601591,81.05666666666667
2021-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,84.51,2.1145480908651537,2.810218978102186,82.76
2021-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,85.88,1.6211099278191865,2.788749251944944,84.38333333333334
2021-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,86.12,0.27945971122498303,2.6337742819687815,85.50333333333333
2021-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,85.75,-0.4296330701347051,2.941176470588247,85.91666666666667
2021-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,84.72,-1.2011661807580176,3.203800706541604,85.53000000000002
2021-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,83.35,-1.6170915958451437,3.4119106699751933,84.60666666666667
2021-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,82.15,-1.4397120575884714,3.6070122335729593,83.40666666666668
2021-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,81.17,-1.1929397443700585,4.037426300948477,82.22333333333333
2022-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,83.26,2.574842922261933,5.9557139221176,82.19333333333333
2022-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,85.03,2.125870766274307,7.090680100755664,83.15333333333335
2022-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,87.73,3.1753498765141774,8.295272188618696,85.33999999999999
2022-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,91.25,4.0123104981192315,10.258579023682923,88.00333333333333
2022-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,94.05,3.0684931506849367,11.288604898828524,91.00999999999999
2022-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,96.11,2.1903242955874536,11.91197019096415,93.80333333333333
2022-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,98.17,2.1433773800853206,13.992104040873187,96.11
2022-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,98.54,0.3768972191097175,14.91545189504373,97.60666666666667
2022-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,98.35,-0.19281510046682548,16.088290840415475,98.35333333333334
2022-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,97.55,-0.813421453990848,17.036592681463713,98.14666666666666
2022-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,96.74,-0.8303434136340382,17.760194765672544,97.54666666666667
2022-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,93.76,-3.080421749017981,15.510656646544296,96.01666666666667
2023-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,93.27,-0.5226109215017205,12.022579870285831,94.58999999999999
2023-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,94.71,1.543904792537787,11.38421733505821,93.91333333333334
2023-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,96.79,2.1961778059339077,10.32714008890916,94.92333333333333
2023-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,99.46,2.758549436925284,8.997260273972586,96.98666666666666
2023-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,101.67,2.221998793484836,8.102073365231256,99.30666666666667
2023-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,103.14,1.4458542342874026,7.314535428155233,101.42333333333333
2023-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,104.16,0.9889470622454821,6.101660385046337,102.99000000000001
2023-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,104.34,0.1728110599078514,5.885934645829094,103.88
2023-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,103.33,-0.9679892658616129,5.063548551093033,103.94333333333334
2023-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,101.96,-1.325849220942621,4.520758585340845,103.21
2023-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,100.97,-0.9709690074539035,4.372544965887948,102.08666666666666
2023-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,97.28,-3.6545508566901086,3.754266211604085,100.07
2024-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,96.0,-1.3157894736842146,2.92698616918623,98.08333333333333
2024-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,96.99,1.0312499999999947,2.407348748812166,96.75666666666666
2024-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,98.66,1.721826992473452,1.9320177704308161,97.21666666666665
2024-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,100.38,1.7433610379079756,0.9249949728534101,98.67666666666666
2024-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,102.51,2.1219366407650986,0.8262024195928142,100.51666666666667
2024-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,104.15,1.5998439176665658,0.9792515028117066,102.34666666666668
2024-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,104.68,0.5088814210273629,0.4992319508448695,103.78000000000002
2024-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,104.47,-0.20061138708445947,0.12459267778415217,104.43333333333334
2024-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,103.43,-0.9955011007944825,0.09677731539727841,104.19333333333333
2024-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,102.66,-0.7444648554578048,0.6865437426441856,103.52
2024-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,101.29,-1.334502240405211,0.31692581955036214,102.46
2024-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,98.32,-2.932174943232313,1.069078947368407,100.75666666666666
2025-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,97.16,-1.179820992676972,1.2083333333333224,98.92333333333333
2025-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,98.37,1.245368464388652,1.422827095576884,97.95
2025-03-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,100.49,2.1551285961166844,1.854855057774163,98.67333333333333
2025-04-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,102.99,2.4878097323116632,2.6001195457262316,100.61666666666667
2025-05-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,105.11,2.0584522769200975,2.536337918251874,102.86333333333333
2025-06-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,106.91,1.712491675387695,2.650024003840601,105.00333333333333
2025-07-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,107.66,0.7015246468992542,2.8467711119602557,106.56
2025-08-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,107.37,-0.26936652424297547,2.775916531061551,107.31333333333333
2025-09-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,106.86,-0.4749930148086112,3.316252537948361,107.29666666666667
2025-10-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,105.78,-1.0106681639528325,3.0391583869082472,106.67
2025-11-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,104.74,-0.9831726224239001,3.4060618027445866,105.79333333333334
2025-12-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,101.59,-3.007447011647879,3.325874694873887,104.03666666666668
2026-01-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,97.74,-3.789743084949315,0.5969534787978681,101.35666666666667
2026-02-01,Diourbel,Centre,D01,Produits alimentaires et boissons non alcoolisées,421,99.61,1.9132392060568826,1.2605469147097592,99.64666666666666
