date,cout_panier,ihpc,cout_panier_reel
2021-01-01,104510.10500000001,83.493609,125171.3828779398
2021-02-01,105589.33600000001,83.94757800000001,125780.08623429255
2021-03-01,108143.436,84.7980288,127530.6012773731
2021-04-01,111033.64799999999,85.9030468,129254.60986093918
2021-05-01,113813.796,86.9383008,130913.29707700017
2021-06-01,114795.75600000001,87.710887,130879.7116599676
2021-07-01,114861.27200000001,87.9072842,130661.83655347188
2021-08-01,113710.77299999999,87.7301614,129614.22979896625
2021-09-01,111296.282,87.23373670000001,127583.99010551613
2021-10-01,109145.23300000001,86.5983447,126036.16544647419
2021-11-01,107277.026,85.9287176,124844.20691505815
2021-12-01,105985.594,85.512076,123942.25348943699
2022-01-01,109256.98500000002,87.2966955,125155.9229982537
2022-02-01,111330.226,88.7712864,125412.42840432691
2022-03-01,114761.112,90.541186,126750.17532904861
2022-04-01,118997.736,92.62007940000001,128479.41479955155
2022-05-01,122666.552,94.6806117,129558.2588636782
2022-06-01,124557.824,96.3584878,129265.02568048809
2022-07-01,129301.45199999999,97.45659880000001,132675.93327913265
2022-08-01,128330.652,98.0013218,130947.87870504009
2022-09-01,126561.10100000001,98.17661360000001,128911.65865187268
2022-10-01,124412.63,98.16070080000001,126743.82821847171
2022-11-01,122784.682,97.9577711,125344.50367868772
2022-12-01,119923.11600000001,96.03288210000001,124877.13934808585
2023-01-01,121053.48799999998,95.6495435,126559.39962745352
2023-02-01,123145.18200000002,96.5616708,127530.08619233628
2023-03-01,129114.326,97.7861711,132037.40830384142
2023-04-01,133118.576,99.2436838,134133.04595611957
2023-05-01,136465.69400000002,100.7267926,135481.02791471197
2023-06-01,137575.108,101.8572988,135066.51916043155
2023-07-01,137484.098,102.3493251,134328.289771986
2023-08-01,136186.04700000002,102.3105384,133110.47828480593
2023-09-01,134293.11200000002,102.11695660000001,131509.1209837329
2023-10-01,131739.68066666668,101.7296106,129499.83774602856
2023-11-01,129518.82733333333,101.25770920000001,127910.09035915788
2023-12-01,126709.836,98.83498010000001,128203.4314893336
2024-01-01,126172.32400000002,97.9137526,128860.6765133829
2024-02-01,127936.30400000002,98.4406862,129962.83238017495
2024-03-01,130747.212,99.3052383,131661.9487936922
2024-04-01,134138.086,100.38565460000001,133622.76366527771
2024-05-01,136704.016,101.55623089999999,134609.1862493491
2024-06-01,137999.596,102.4063628,134756.8571198195
2024-07-01,138307.58200000002,102.7947692,134547.29562250918
2024-08-01,136950.528,102.6512628,133413.38846150073
2024-09-01,134296.046,102.45728520000002,131075.15560055067
2024-10-01,132163.72400000002,102.0852754,129464.04217664481
2024-11-01,129960.17599999999,101.76222859999999,127709.6401955175
2024-12-01,127410.93,99.47595790000001,128082.13430634375
2025-01-01,127013.162,98.8872886,128442.3547234361
2025-02-01,128664.03900000002,99.5861531,129198.72391375666
2025-03-01,132090.254,100.7158986,131151.34336894055
2025-04-01,135527.946,102.0904402,132752.82752674428
2025-05-01,138738.49066666668,103.4846946,134066.67643261972
2025-06-01,140413.61733333333,104.5048536,134360.8574112517
2025-07-01,140059.59500000003,105.0952739,133269.16596960317
2025-08-01,139652.596,105.1166052,132854.93356096323
2025-09-01,136464.98,104.9988828,129968.03047889192
2025-10-01,134332.308,104.8034814,128175.42528696952
2025-11-01,132551.86599999998,104.4432728,126912.78475524753
2025-12-01,129241.25000000001,102.103528,126578.6330125635
2026-01-01,127681.336,99.2782806,128609.53597135525
2026-02-01,130168.51700000002,100.4757862,129552.12586333565
2026-03-01,133621.24000000002,102.1068912,130864.07629262931
2026-04-01,136835.128,103.2872054,132480.23070241767
2026-05-01,139259.25400000002,104.45717199999999,133317.08233494972
