date,region,produit,division_code,categorie,unite,prix_moyen
2018-02-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,303.3
Mars 2018,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,298.4
2018-04-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,
2018-05-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,325.8
01/06/2018,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,330.6
01/07/2018,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,331.0
01/08/2018,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,320.5
2018-09-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,326.2
Octobre 2018,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,305.7
Novembre 2018,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,303.8
Décembre 2018,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,300.6
Janvier 2019,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"310,1"
Février 2019,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,301.8
2019-03-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,306.9
01/04/2019,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,310.0
Mai 2019,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,337.4
2019-06-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,"334,7"
01/07/2019,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,335.2
2019-08-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,348.6
Septembre 2019,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,323.0
Octobre 2019,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,304.3
2019-11-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,303.8
Décembre 2019,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,294.8
01/01/2020,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,303.1
Février 2020,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,308.2
2020-03-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,315.3
2020-04-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,319.8
Mai 2020,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,348.7
Juin 2020,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,345.9
2020-07-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,342.9
2020-08-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,345.1
01/09/2020,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,
2020-10-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,324.7
Novembre 2020,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,319.4
Décembre 2020,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,311.1
Janvier 2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,317.1
01/02/2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,323.0
01/03/2021,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,328.0
01/04/2021,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"335,6"
Mai 2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,"357,0"
01/06/2021,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"349,2"
01/07/2021,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,355.9
01/08/2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,352.2
01/09/2021,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,337.8
Octobre 2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,327.9
01/11/2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,323.5
Décembre 2021,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,318.4
2022-01-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,320.7
01/02/2022,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,335.7
01/03/2022,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,355.6
Avril 2022,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,378.6
2022-05-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,388.2
2022-06-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,374.1
01/07/2022,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,404.1
Août 2022,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"393,8"
01/09/2022,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,397.0
01/10/2022,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,386.7
2022-11-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,379.6
Décembre 2022,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"368,0"
Janvier 2023,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"368,4"
2023-02-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,386.2
Mars 2023,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,387.5
2023-04-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"409,6"
01/05/2023,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,421.1
Juin 2023,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,427.2
Juillet 2023,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"408,0"
2023-08-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"428,4"
2023-09-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"408,4"
Octobre 2023,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,409.6
2023-11-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,388.7
Décembre 2023,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"373,2"
2024-01-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,393.8
2024-02-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,377.5
01/03/2024,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,403.9
Avril 2024,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,407.5
2024-05-01,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,413.8
Juin 2024,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,423.7
Juillet 2024,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"414,2"
2024-08-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,420.9
2024-09-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,404.8
01/10/2024,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,402.4
01/11/2024,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,405.9
2024-12-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,"386,8"
01/01/2025,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,372.0
Février 2025,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,
2025-03-01,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,"401,6"
2025-04-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,
Mai 2025,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,432.9
01/06/2025,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,433.1
Juillet 2025,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,426.4
01/08/2025,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,449.0
Septembre 2025,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,426.3
Octobre 2025,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,417.9
01/11/2025,thiès,Riz brisé ordinaire,D01,Alimentaire,kg,"408,3"
01/12/2025,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,407.1
01/01/2026,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,381.2
2026-02-01,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,382.2
01/03/2026,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,402.8
01/04/2026,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,431.6
Mai 2026,THIÈS,Riz brisé ordinaire,D01,Alimentaire,kg,438.9
Janvier 2018,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,290.9
01/02/2018,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,"304,3"
Mars 2018,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,307.6
01/04/2018,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,309.6
01/05/2018,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,317.5
2018-06-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,325.0
2018-07-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"317,6"
Août 2018,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,319.1
2018-09-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,314.0
2018-10-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"293,6"
2018-11-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,295.7
Décembre 2018,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,290.9
2019-01-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,301.3
2019-02-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,288.2
01/03/2019,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,304.0
01/04/2019,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,311.8
Mai 2019,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,328.5
2019-06-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"326,6"
01/07/2019,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,"339,0"
2019-08-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,
2019-09-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,313.5
2019-10-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,309.2
2019-11-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,298.3
Décembre 2019,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,"301,3"
Janvier 2020,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,292.9
2020-02-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,301.0
01/03/2020,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,317.2
2020-04-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,332.0
Mai 2020,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,"318,2"
2020-06-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,348.0
01/07/2020,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,338.3
2020-08-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,322.2
01/09/2020,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,307.4
Octobre 2020,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,308.4
01/11/2020,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,310.2
01/12/2020,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,305.2
Janvier 2021,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,"312,1"
Février 2021,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,310.0
2021-03-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,314.9
01/04/2021,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,329.3
01/05/2021,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,341.4
01/06/2021,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,348.8
01/07/2021,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,342.4
Août 2021,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,350.2
Septembre 2021,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,332.6
2021-10-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,322.6
Novembre 2021,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,317.5
Décembre 2021,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,323.6
01/01/2022,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,324.5
01/02/2022,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,330.3
2022-03-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,354.9
01/04/2022,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,379.3
2022-05-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,379.8
Juin 2022,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"398,3"
2022-07-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,401.2
01/08/2022,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,387.5
01/09/2022,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,387.7
Octobre 2022,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,
Novembre 2022,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,373.8
Décembre 2022,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,358.7
2023-01-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,"360,1"
2023-02-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,364.9
01/03/2023,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,379.6
01/04/2023,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,399.1
2023-05-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,406.2
Juin 2023,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,399.8
2023-07-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,410.5
2023-08-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,400.2
Septembre 2023,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,408.0
Octobre 2023,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,401.8
01/11/2023,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,392.4
2023-12-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"370,6"
2024-01-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,375.0
2024-02-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,375.5
01/03/2024,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,380.1
01/04/2024,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,406.4
01/05/2024,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"417,8"
Juin 2024,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,425.7
Juillet 2024,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,413.8
Août 2024,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,424.4
2024-09-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,"403,5"
01/10/2024,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,404.7
2024-11-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,388.6
2024-12-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,377.4
Janvier 2025,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,"359,4"
01/02/2025,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,382.3
Mars 2025,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,396.3
2025-04-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,405.0
Mai 2025,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,434.9
2025-06-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,418.0
2025-07-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,425.2
2025-08-01,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,"418,8"
2025-09-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,415.3
01/10/2025,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,420.8
2025-11-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,417.4
2025-12-01,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,386.3
Janvier 2026,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,"374,0"
2026-02-01,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,379.4
01/03/2026,Saint-Louis ,Riz brisé ordinaire,D01,Alimentaire,kg,412.7
Avril 2026,saint-louis,Riz brisé ordinaire,D01,Alimentaire,kg,423.5
01/05/2026,SAINT-LOUIS,Riz brisé ordinaire,D01,Alimentaire,kg,424.3
2018-01-01,Diourbel ,Riz brisé ordinaire,D01,Alimentaire,kg,279.9
2018-02-01,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,284.0
Mars 2018,Diourbel ,Riz brisé ordinaire,D01,Alimentaire,kg,299.4
Avril 2018,diourbel,Riz brisé ordinaire,D01,Alimentaire,kg,309.9
01/05/2018,diourbel,Riz brisé ordinaire,D01,Alimentaire,kg,300.7
Juin 2018,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,315.9
2018-07-01,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,328.3
2018-08-01,diourbel,Riz brisé ordinaire,D01,Alimentaire,kg,312.8
Septembre 2018,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,
Octobre 2018,Diourbel ,Riz brisé ordinaire,D01,Alimentaire,kg,303.1
01/11/2018,Diourbel ,Riz brisé ordinaire,D01,Alimentaire,kg,285.9
01/12/2018,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,286.5
Janvier 2019,Diourbel ,Riz brisé ordinaire,D01,Alimentaire,kg,290.0
01/02/2019,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,289.0
01/03/2019,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,295.8
01/04/2019,Diourbel ,Riz brisé ordinaire,D01,Alimentaire,kg,319.4
01/05/2019,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,311.2
01/06/2019,diourbel,Riz brisé ordinaire,D01,Alimentaire,kg,328.9
01/07/2019,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,319.4
Août 2019,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,318.1
01/09/2019,DIOURBEL,Riz brisé ordinaire,D01,Alimentaire,kg,314.7
