date,region,zone,division_code,division,ponderation,indice
2023-04-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,
01/05/2023,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.36
01/06/2023,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.12
2023-07-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.92
2023-08-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.34
Septembre 2023,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.9
01/10/2023,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.81
01/11/2023,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,100.75
01/12/2023,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.78
Janvier 2024,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,96.63
Février 2024,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.52
01/03/2024,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.76
01/04/2024,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,100.5
01/05/2024,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.39
Juin 2024,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.79
01/07/2024,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,104.32
2024-08-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.82
2024-09-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.29
Octobre 2024,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.34
2024-11-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.71
01/12/2024,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.54
01/01/2025,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.54
2025-02-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.63
01/03/2025,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,100.16
2025-04-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,102.39
Mai 2025,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,104.63
Juin 2025,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.37
2025-07-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.81
01/08/2025,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.71
Septembre 2025,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,105.94
2025-10-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,105.38
2025-11-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,104.31
Décembre 2025,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.3
01/01/2026,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.98
2026-02-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,99.59
2026-03-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,101.71
2026-04-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,103.65
01/05/2026,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,106.12
2018-01-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.25
01/02/2018,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.32
01/03/2018,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.83
2018-04-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.16
Mai 2018,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.84
Juin 2018,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.06
Juillet 2018,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.17
Août 2018,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,
2018-09-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.82
01/10/2018,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.72
2018-11-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.66
2018-12-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.5
Janvier 2019,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,82.96
01/02/2019,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.07
Mars 2019,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.1
Avril 2019,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.48
2019-05-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.7
2019-06-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.93
Juillet 2019,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.89
01/08/2019,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.96
Septembre 2019,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.87
01/10/2019,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.55
01/11/2019,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.38
01/12/2019,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,83.2
Janvier 2020,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,84.21
2020-02-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,84.42
01/03/2020,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,84.94
Avril 2020,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,85.34
Mai 2020,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,86.07
01/06/2020,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,86.38
01/07/2020,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,86.33
Août 2020,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,86.06
01/09/2020,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,85.79
01/10/2020,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,85.81
01/11/2020,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,85.42
01/12/2020,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,85.25
2021-01-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,85.52
01/02/2021,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,86.18
01/03/2021,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,86.53
2021-04-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,
01/05/2021,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.35
Juin 2021,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.84
2021-07-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.94
2021-08-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.91
Septembre 2021,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.85
Octobre 2021,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.69
2021-11-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.61
2021-12-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,87.72
Janvier 2022,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,88.99
Février 2022,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,90.48
01/03/2022,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,91.84
Avril 2022,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,93.23
01/05/2022,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,94.51
2022-06-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,95.47
Juillet 2022,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,96.59
01/08/2022,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,97.5
01/09/2022,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,97.62
01/10/2022,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,98.48
2022-11-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,98.73
2022-12-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,97.2
2023-01-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,96.99
2023-02-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,97.71
Mars 2023,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,98.66
01/04/2023,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,99.32
Mai 2023,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.3
01/06/2023,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.86
01/07/2023,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.03
Août 2023,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.38
2023-09-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.46
Octobre 2023,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.76
Novembre 2023,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.76
01/12/2023,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,99.92
01/01/2024,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,99.09
Février 2024,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,99.63
01/03/2024,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,99.69
01/04/2024,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.42
Mai 2024,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.74
Juin 2024,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.31
01/07/2024,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.48
01/08/2024,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.74
Septembre 2024,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.8
Octobre 2024,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.73
01/11/2024,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,102.22
Décembre 2024,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.24
2025-01-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.03
2025-02-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.81
2025-03-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.26
Avril 2025,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.69
Mai 2025,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,102.31
2025-06-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,103.03
Juillet 2025,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,103.22
01/08/2025,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,103.56
2025-09-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,104.1
2025-10-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,104.63
2025-11-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,104.87
2025-12-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,102.62
2026-01-01,Dakar ,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,100.52
2026-02-01,DAKAR,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,101.35
2026-03-01,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,102.51
Avril 2026,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,103.16
01/05/2026,dakar,Ouest,D02,"Boissons alcoolisées, tabac et stupéfiants",9,103.09
2018-01-01,dakar,Ouest,D03,Habillement et chaussures,62,86.54
01/02/2018,DAKAR,Ouest,D03,Habillement et chaussures,62,86.82
Mars 2018,dakar,Ouest,D03,Habillement et chaussures,62,86.88
2018-04-01,dakar,Ouest,D03,Habillement et chaussures,62,87.73
2018-05-01,DAKAR,Ouest,D03,Habillement et chaussures,62,88.02
01/06/2018,Dakar ,Ouest,D03,Habillement et chaussures,62,88.38
2018-07-01,dakar,Ouest,D03,Habillement et chaussures,62,88.27
01/08/2018,dakar,Ouest,D03,Habillement et chaussures,62,88.32
01/09/2018,Dakar ,Ouest,D03,Habillement et chaussures,62,88.02
2018-10-01,dakar,Ouest,D03,Habillement et chaussures,62,87.46
2018-11-01,dakar,Ouest,D03,Habillement et chaussures,62,87.03
Décembre 2018,Dakar ,Ouest,D03,Habillement et chaussures,62,86.74
01/01/2019,dakar,Ouest,D03,Habillement et chaussures,62,86.94
01/02/2019,Dakar ,Ouest,D03,Habillement et chaussures,62,87.2
2019-03-01,DAKAR,Ouest,D03,Habillement et chaussures,62,87.56
Avril 2019,Dakar ,Ouest,D03,Habillement et chaussures,62,88.11
01/05/2019,dakar,Ouest,D03,Habillement et chaussures,62,88.66
Juin 2019,Dakar ,Ouest,D03,Habillement et chaussures,62,88.72
2019-07-01,DAKAR,Ouest,D03,Habillement et chaussures,62,88.95
Août 2019,dakar,Ouest,D03,Habillement et chaussures,62,89.02
2019-09-01,dakar,Ouest,D03,Habillement et chaussures,62,88.37
Octobre 2019,DAKAR,Ouest,D03,Habillement et chaussures,62,87.9
2019-11-01,Dakar ,Ouest,D03,Habillement et chaussures,62,87.59
Décembre 2019,dakar,Ouest,D03,Habillement et chaussures,62,87.37
Janvier 2020,Dakar ,Ouest,D03,Habillement et chaussures,62,87.94
01/02/2020,dakar,Ouest,D03,Habillement et chaussures,62,88.43
01/03/2020,dakar,Ouest,D03,Habillement et chaussures,62,88.9
2020-04-01,dakar,Ouest,D03,Habillement et chaussures,62,89.54
2020-05-01,dakar,Ouest,D03,Habillement et chaussures,62,90.13
2020-06-01,dakar,Ouest,D03,Habillement et chaussures,62,90.87
2020-07-01,Dakar ,Ouest,D03,Habillement et chaussures,62,90.67
01/08/2020,DAKAR,Ouest,D03,Habillement et chaussures,62,90.23
2020-09-01,Dakar ,Ouest,D03,Habillement et chaussures,62,90.32
Octobre 2020,Dakar ,Ouest,D03,Habillement et chaussures,62,89.52
Novembre 2020,Dakar ,Ouest,D03,Habillement et chaussures,62,
01/12/2020,dakar,Ouest,D03,Habillement et chaussures,62,88.9
01/01/2021,dakar,Ouest,D03,Habillement et chaussures,62,88.85
2021-02-01,Dakar ,Ouest,D03,Habillement et chaussures,62,89.23
2021-03-01,dakar,Ouest,D03,Habillement et chaussures,62,89.72
2021-04-01,DAKAR,Ouest,D03,Habillement et chaussures,62,90.49
2021-05-01,Dakar ,Ouest,D03,Habillement et chaussures,62,91.31
01/06/2021,Dakar ,Ouest,D03,Habillement et chaussures,62,91.83
01/07/2021,dakar,Ouest,D03,Habillement et chaussures,62,91.95
01/08/2021,dakar,Ouest,D03,Habillement et chaussures,62,91.63
Septembre 2021,dakar,Ouest,D03,Habillement et chaussures,62,91.2
Octobre 2021,dakar,Ouest,D03,Habillement et chaussures,62,91.11
2021-11-01,Dakar ,Ouest,D03,Habillement et chaussures,62,90.63
2021-12-01,DAKAR,Ouest,D03,Habillement et chaussures,62,90.5
01/01/2022,DAKAR,Ouest,D03,Habillement et chaussures,62,91.77
01/02/2022,Dakar ,Ouest,D03,Habillement et chaussures,62,92.66
2022-03-01,Dakar ,Ouest,D03,Habillement et chaussures,62,93.95
01/04/2022,DAKAR,Ouest,D03,Habillement et chaussures,62,95.2
01/05/2022,DAKAR,Ouest,D03,Habillement et chaussures,62,96.56
Juin 2022,DAKAR,Ouest,D03,Habillement et chaussures,62,97.45
2022-07-01,Dakar ,Ouest,D03,Habillement et chaussures,62,98.2
Août 2022,Dakar ,Ouest,D03,Habillement et chaussures,62,98.67
01/09/2022,dakar,Ouest,D03,Habillement et chaussures,62,98.93
01/10/2022,Dakar ,Ouest,D03,Habillement et chaussures,62,98.78
2022-11-01,dakar,Ouest,D03,Habillement et chaussures,62,98.9
01/12/2022,Dakar ,Ouest,D03,Habillement et chaussures,62,97.41
2023-01-01,Dakar ,Ouest,D03,Habillement et chaussures,62,97.29
Février 2023,Dakar ,Ouest,D03,Habillement et chaussures,62,97.96
01/03/2023,dakar,Ouest,D03,Habillement et chaussures,62,98.31
Avril 2023,dakar,Ouest,D03,Habillement et chaussures,62,99.3
Mai 2023,DAKAR,Ouest,D03,Habillement et chaussures,62,100.18
Juin 2023,Dakar ,Ouest,D03,Habillement et chaussures,62,100.75
01/07/2023,dakar,Ouest,D03,Habillement et chaussures,62,101.27
01/08/2023,DAKAR,Ouest,D03,Habillement et chaussures,62,101.49
01/09/2023,Dakar ,Ouest,D03,Habillement et chaussures,62,101.28
Octobre 2023,Dakar ,Ouest,D03,Habillement et chaussures,62,101.18
Novembre 2023,Dakar ,Ouest,D03,Habillement et chaussures,62,101.1
Décembre 2023,dakar,Ouest,D03,Habillement et chaussures,62,99.54
01/01/2024,Dakar ,Ouest,D03,Habillement et chaussures,62,98.73
Février 2024,Dakar ,Ouest,D03,Habillement et chaussures,62,99.25
2024-03-01,dakar,Ouest,D03,Habillement et chaussures,62,99.6
Avril 2024,dakar,Ouest,D03,Habillement et chaussures,62,100.12
Mai 2024,DAKAR,Ouest,D03,Habillement et chaussures,62,100.83
01/06/2024,dakar,Ouest,D03,Habillement et chaussures,62,101.19
01/07/2024,Dakar ,Ouest,D03,Habillement et chaussures,62,101.52
Août 2024,Dakar ,Ouest,D03,Habillement et chaussures,62,101.57
2024-09-01,Dakar ,Ouest,D03,Habillement et chaussures,62,101.65
Octobre 2024,DAKAR,Ouest,D03,Habillement et chaussures,62,101.65
2024-11-01,Dakar ,Ouest,D03,Habillement et chaussures,62,101.02
01/12/2024,dakar,Ouest,D03,Habillement et chaussures,62,99.76
2025-01-01,DAKAR,Ouest,D03,Habillement et chaussures,62,99.22
Février 2025,Dakar ,Ouest,D03,Habillement et chaussures,62,99.89
01/03/2025,DAKAR,Ouest,D03,Habillement et chaussures,62,100.47
01/04/2025,Dakar ,Ouest,D03,Habillement et chaussures,62,101.01
01/05/2025,dakar,Ouest,D03,Habillement et chaussures,62,102.25
2025-06-01,Dakar ,Ouest,D03,Habillement et chaussures,62,102.65
01/07/2025,dakar,Ouest,D03,Habillement et chaussures,62,103.01
2025-08-01,dakar,Ouest,D03,Habillement et chaussures,62,103.01
Septembre 2025,Dakar ,Ouest,D03,Habillement et chaussures,62,103.08
2025-10-01,DAKAR,Ouest,D03,Habillement et chaussures,62,103.17
01/11/2025,DAKAR,Ouest,D03,Habillement et chaussures,62,102.97
01/12/2025,dakar,Ouest,D03,Habillement et chaussures,62,101.52
2026-01-01,Dakar ,Ouest,D03,Habillement et chaussures,62,99.68
Février 2026,Dakar ,Ouest,D03,Habillement et chaussures,62,100.54
01/03/2026,Dakar ,Ouest,D03,Habillement et chaussures,62,101.33
2026-04-01,DAKAR,Ouest,D03,Habillement et chaussures,62,101.84
2026-05-01,DAKAR,Ouest,D03,Habillement et chaussures,62,102.93
Janvier 2018,DAKAR,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,79.92
Février 2018,Dakar ,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.18
2018-03-01,DAKAR,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.33
2018-04-01,dakar,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.58
2018-05-01,dakar,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.94
Juin 2018,DAKAR,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,81.34
2018-07-01,dakar,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,81.4
01/08/2018,DAKAR,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,81.07
01/09/2018,DAKAR,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.85
Octobre 2018,dakar,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.65
Novembre 2018,dakar,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.12
01/12/2018,DAKAR,Ouest,D04,"Logement, eau, électricité, gaz et autres combustibles",105,80.06
